Type,Filename,Titulo,Autor,Asunto,Palabras_Clave,File_Size,Fecha_Creacion,Fecha_Modificacion,Categoria,Comentarios,Numero_Paginas
pdf,0718-0764-infotec-30-01-247.pdf,Densidad de Líquidos Iónicos usando  Contribución de Grupos y  Redes Artificiales Neuronales,Reategui,,,0.49,D:20190220152757-04'00',D:20190220152757-04'00',,,
pdf,0718-5006-formuniv-13-05-233.pdf,,hp Leonardo contreras,,,1.08,D:20200827163113-04'00',D:20200827163113-04'00',,,
pdf,1252-Texto del artículo-1865-1-10-20120823.pdf,,,,,0.64,D:20080211164452-06'00',D:20080211164452-06'00',,,
pdf,20025-66077-1-PB es-ES.pdf,"International Journal of Online and Biomedical Engineering (iJOE) – eISSN: 2626-8493 – Vol. 17, No. 02, 2021",,,", docId:4C4D1B3D287DC88FED79B0B38EF96E7C",0.68,D:20220831065235Z,D:20220831065239Z,,,
pdf,20025-66077-1-PB.pdf,"International Journal of Online and Biomedical Engineering (iJOE) – eISSN: 2626-8493 – Vol. 17, No. 02, 2021",,,,1.07,D:20210204154449+01'00',D:20210204161337+01'00',,,
pdf,2011-Artículos científicos.pdf,,USUARIO,,,0.27,D:20141103152507-05'00',D:20141103152507-05'00',,,
pdf,2012-El ensayo académico.pdf,,,,,0.41,D:20190525085258-06'00',D:20190525085307-06'00',,,
pdf,2016-El ensayo académico aproximación y recomendaciones para su escritura.pdf,,,,,0.74,D:20160808152239-05'00',D:20160808152240-05'00',,,
pdf,"2019-El ensayo, un método para la enseñanza-aprendizaje de la comunicación escrita.pdf",,GISELA,,,0.26,D:20181220184409-06'00',D:20181220184409-06'00',,,
pdf,2020-Enseñanza de la argumentación escrita en estudiantes de ingeniería Una experiencia de alfabetización académica.pdf,Article,yaog,,,0.45,D:20201006121743-05'00',D:20201006121743-05'00',,,
pdf,228074134.pdf,,ALBERTO MAISUECHE CUADRADO,,,3.65,D:20190728172359+02'00',D:20190728172359+02'00',,,
pdf,2767-Texto del artículo-10150-1-10-20210802.pdf,,,,,2.32,D:20210802130928-04'00',D:20210802131223-04'00',,,
pdf,38480-Texto del artículo-72302-1-10-20220719.pdf,,,,,0.62,D:20220718115922-04'00',D:20220718115924-04'00',,,
pdf,463561-Texto del artículo-1637201-1-10-20210329.pdf,,Silvia Avilés,,,0.65,D:20210329084815+02'00',D:20210329084815+02'00',,,
pdf,5.-Steiner-Una-breve-historia-de.pdf,,,,,0.27,D:20150716165114-03'00',,,,
