Titulo,Autor,Asunto,Palabras_Clave,File_Size,Fecha_Creacion,Fecha_Modificacion
Densidad de Líquidos Iónicos usando  Contribución de Grupos y  Redes Artificiales Neuronales,Reategui,,,0.49,D:20190220152757-04'00',D:20190220152757-04'00'
,hp Leonardo contreras,,,1.08,D:20200827163113-04'00',D:20200827163113-04'00'
,,,,0.64,D:20080211164452-06'00',D:20080211164452-06'00'
"International Journal of Online and Biomedical Engineering (iJOE) – eISSN: 2626-8493 – Vol. 17, No. 02, 2021",,,", docId:4C4D1B3D287DC88FED79B0B38EF96E7C",0.68,D:20220831065235Z,D:20220831065239Z
"International Journal of Online and Biomedical Engineering (iJOE) – eISSN: 2626-8493 – Vol. 17, No. 02, 2021",,,,1.07,D:20210204154449+01'00',D:20210204161337+01'00'
,USUARIO,,,0.27,D:20141103152507-05'00',D:20141103152507-05'00'
,,,,0.41,D:20190525085258-06'00',D:20190525085307-06'00'
,,,,0.74,D:20160808152239-05'00',D:20160808152240-05'00'
,GISELA,,,0.26,D:20181220184409-06'00',D:20181220184409-06'00'
Article,yaog,,,0.45,D:20201006121743-05'00',D:20201006121743-05'00'
,ALBERTO MAISUECHE CUADRADO,,,3.65,D:20190728172359+02'00',D:20190728172359+02'00'
,,,,2.32,D:20210802130928-04'00',D:20210802131223-04'00'
,,,,0.62,D:20220718115922-04'00',D:20220718115924-04'00'
,Silvia Avilés,,,0.65,D:20210329084815+02'00',D:20210329084815+02'00'
,,,,0.27,D:20150716165114-03'00',
"Redalyc.El rendimiento académico:   concepto, investigación y desarrollo        ","Edel Navarro, Rubén

","El rendimiento académico:   concepto, investigación y desarrollo        . REICE. Revista Iberoamericana sobre Calidad, Eficacia y Cambio en Educación Edel Navarro, Rubén

vol. 1, núm. 2, julio-diciembre, 2003, p. 0
Red Iberoamericana de Investigación Sobre Cambio y Eficacia Escolar Madrid, España",,0.28,D:20150324183400-06'00',D:20150324183400-06'00'
Redalyc.Minería de Datos: Conceptos y Tendencias,"Riquelme, José C.; Ruiz, Roberto; Gilbert, Karina

","Minería de Datos: Conceptos y Tendencias. Inteligencia Artificial. Revista Iberoamericana de Inteligencia Artificial Riquelme, José C.; Ruiz, Roberto; Gilbert, Karina

vol. 10, núm. 29, primavera, 2006, pp. 11-18
Asociación Española para la Inteligencia Artificial Valencia, España",,0.14,D:20150325020452-06'00',D:20150325020452-06'00'
,Osvaldo,,,0.21,D:20100325001420Z,D:20100506120151-04'00'
,,,,1.13,D:20181122094933-06'00',D:20181122094934-06'00'
Ingeniería de Requisitos,Claudia Elena Durango Vanegas,,,1.66,D:20220210094625-05'00',D:20220210094625-05'00'
,Santiago Munera,,,0.07,D:20220901221609-05'00',D:20220901221609-05'00'
Manual de Redacción Científica FIN,Pilar Castro,,,1.69,D:20041117184100,
,Tatiana Salazar Bedoya,,,0.42,D:20200428224618-05'00',D:20200428224618-05'00'
,MARIA ANTONIA PENAGOS MARIN,,,0.01,D:20220218214357-05'00',D:20220218214357-05'00'
,yilmar stiven sanchez hinestroza,,,0.8,D:20180531092642-05'00',D:20180531092642-05'00'
,,,,4.77,D:20220310090314-05'00',D:20220310090509-05'00'
,,,,4.71,D:20220708174610,
,TATIANA  SALAZAR BEDOYA,,,0.57,D:20220304084258-05'00',D:20220304084258-05'00'
,,,,5.43,D:20190424164314-05'00',D:20190424164324-05'00'
Manual de Redacción Científica,des_academico,"Normas para redactar, citar y referenciar según el estilo APA",,1.18,D:20150404052738-05'00',D:20150404052738-05'00'
,Juan Zamorano,,,2.98,D:20180708105557+02'00',D:20180709131734+02'00'
,Tatiana Salazar Bedoya,,,0.82,D:20200525194514-05'00',D:20200525194514-05'00'
,Beatriz Beltran Martinez,,,1.62,D:20160113085324-06'00',D:20160113085324-06'00'
,,,,4.39,D:20180111232528+01'00',D:20180111232528+01'00'
,,,,0.55,D:20220814204744Z00'00',D:20220814204744Z00'00'
Presentación de PowerPoint,carlos pillajo,,,1.69,D:20160918011744-05'00',D:20160918011744-05'00'
,Tatiana Salazar Bedoya,,,0.1,D:20210427224020-05'00',D:20210427224020-05'00'
,WinuE,,,1.28,D:20100807153551,D:20100807153551
,,,,4.96,D:20230912224522+00'00',D:20230912224522+00'00'
Escritura de artículos científicos,Claudia Elena Durango Vanegas,,,0.35,D:20220309184454-05'00',D:20220309184454-05'00'
